City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,villa la angostura,-40.7617,-71.6463,1.58,79,95,1.86,AR,1690136583
237,garissa,-0.4536,39.6401,26.86,58,76,9.46,KE,1690136583
238,la ronge,55.1001,-105.2842,21.12,52,75,3.6,CA,1690136584
239,pathein,16.7833,94.7333,25.91,89,90,1.96,MM,1690136584
240,leongatha,-38.4833,145.95,7.7,86,100,1.69,AU,1690136584
241,ngerengere,-6.75,38.1167,22.91,74,91,1.61,TZ,1690136584
242,campamento,14.55,-86.65,29.36,53,89,3.2,HN,1690136584
243,lagunas,-5.2269,-75.6753,35.22,37,2,0.51,PE,1690136585
244,hengyang,26.8881,112.615,25.5,94,88,1.94,CN,1690136585
245,novodvinsk,64.4165,40.8122,11.27,96,100,1.82,RU,1690136461
246,bodo,67.28,14.405,14.32,86,100,2.06,NO,1690136585
247,tindouf,27.6711,-8.1474,44.25,10,20,4.12,DZ,1690136585
248,kimbe,-5.5502,150.1429,25.16,84,77,3.51,PG,1690136585
249,port augusta,-32.5,137.7667,7.86,87,1,3.15,AU,1690136586
250,kishorganj,24.4333,90.7667,27.99,82,100,3.15,BD,1690136586
251,mamuju,-2.6748,118.8885,25.47,85,30,2.12,ID,1690136586
252,yaren,-0.5472,166.916,28.37,73,18,2.26,NR,1690136586
253,carnarvon,-24.8667,113.6333,16.16,29,0,6.42,AU,1690136586
254,guanica,17.9716,-66.908,32.21,76,100,7.66,PR,1690136586
255,karratha,-20.7377,116.8463,16.88,30,0,8.86,AU,1690136587
256,carauari,-4.8828,-66.8958,35.64,32,2,1.38,BR,1690136587
257,blacksburg,37.2296,-80.4139,28.73,69,100,0.0,US,1690136587
258,el bolson,-41.9667,-71.5167,4.48,67,76,1.18,AR,1690136395
259,bochum,51.4833,7.2167,21.68,65,100,2.68,DE,1690136421
260,driefontein,-27.0177,30.4498,13.19,42,76,2.35,ZA,1690136587
261,zhangjiakou,40.81,114.8794,21.87,64,43,0.58,CN,1690136588
262,la'ie,21.6477,-157.9253,27.98,79,22,6.22,US,1690136588
263,puerto deseado,-47.7503,-65.8938,3.54,63,26,7.91,AR,1690136588
264,happy valley-goose bay,53.3168,-60.3315,25.17,65,75,1.54,CA,1690136588
265,howard springs,-12.497,131.047,18.95,22,55,5.71,AU,1690136588
266,saint-francois,46.4154,3.9054,29.69,39,0,3.6,FR,1690136588
267,dryden,49.7833,-92.7503,20.16,60,75,3.09,CA,1690136589
268,rongelap,11.1635,166.8941,28.62,75,76,8.83,MH,1690136589
269,flying fish cove,-10.4217,105.6791,23.82,88,100,5.14,CX,1690136589
270,arish,31.1316,33.7984,28.73,72,0,2.55,EG,1690136507
271,tobelo,1.7284,128.0095,25.54,80,93,3.56,ID,1690136589
272,dinar,38.065,30.1656,29.98,32,10,4.16,TR,1690136589
273,atasu,48.6814,71.6433,25.56,31,61,2.17,KZ,1690136590
274,veseloyarsk,51.2836,81.1056,19.89,45,86,2.22,RU,1690136590
275,aykhal,66.0,111.5,17.13,68,77,0.54,RU,1690136590
276,mogadishu,2.0371,45.3438,25.22,83,53,7.58,SO,1690136590
277,yamada,39.4667,141.95,21.23,92,100,2.77,JP,1690136590
278,dvurechensk,56.5982,61.0953,14.21,75,73,2.9,RU,1690136590
279,gaiman,-43.2897,-65.4929,7.09,43,6,4.12,AR,1690136591
280,kapa'a,22.0752,-159.319,26.18,88,100,6.69,US,1690136591
281,sinazongwe,-17.2614,27.4618,20.8,50,0,1.2,ZM,1690136591
282,puerto princesa,9.7392,118.7353,26.99,78,40,4.12,PH,1690136591
283,kyshtovka,56.555,76.6271,17.4,75,96,2.34,RU,1690136591
284,barrouallie,13.2333,-61.2667,29.79,70,40,5.66,VC,1690136592
285,carbonear,47.7332,-53.2148,27.91,90,88,1.15,CA,1690136592
286,keflavik,64.0049,-22.5624,13.95,88,75,4.12,IS,1690136392
287,pisco,-13.7,-76.2167,22.03,68,100,3.09,PE,1690136592
288,polyarnyy,69.1989,33.4478,9.22,86,99,6.3,RU,1690136592
289,new norfolk,-42.7826,147.0587,9.84,87,95,1.66,AU,1690136593
290,altay,47.8667,88.1167,18.35,26,11,2.15,CN,1690136593
291,queenstown,-31.8976,26.8753,8.66,52,43,2.01,ZA,1690136230
292,invercargill,-46.4,168.35,8.11,93,93,0.99,NZ,1690136593
293,zhezqazghan,47.7833,67.7667,30.42,25,51,5.87,KZ,1690136593
294,port alfred,-33.5906,26.891,13.43,83,52,2.68,ZA,1690136593
295,gannan,47.9147,123.5031,16.5,94,100,8.06,CN,1690136594
296,tommot,58.9564,126.2925,15.83,92,49,0.61,RU,1690136594
297,sao bento,-6.2833,-37.75,32.57,29,37,4.85,BR,1690136594
298,kalemie,-5.9475,29.1947,23.12,62,5,0.75,CD,1690136594
299,san antonio oeste,-40.7319,-64.9477,8.33,51,30,6.6,AR,1690136594
300,hepo,23.4308,115.8299,25.67,96,100,0.67,CN,1690136595
301,dubbo,-32.25,148.6167,4.07,93,1,4.63,AU,1690136595
302,port lincoln,-34.7333,135.8667,12.63,74,100,3.05,AU,1690136595
303,veracruz,19.3333,-96.6667,26.59,76,96,0.98,MX,1690136595
304,wotho,10.1657,166.0102,28.6,70,76,8.46,MH,1690136595
305,hamilton,39.1834,-84.5333,30.99,51,40,3.6,US,1690136596
306,quetigny,47.3167,5.1167,28.81,44,0,1.03,FR,1690136596
307,hrubieszow,50.805,23.8925,20.16,60,72,3.4,PL,1690136402
308,kamaishi,39.2667,141.8833,21.2,90,100,3.72,JP,1690136596
309,harlan,41.653,-95.3255,30.86,40,6,3.72,US,1690136596
310,fort st. john,56.2499,-120.8529,17.94,52,75,5.14,CA,1690136596
311,heniches'k,46.1759,34.8034,25.63,46,68,6.53,UA,1690136597
312,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,77,40,4.0,RU,1690136597
313,new plymouth,-39.0667,174.0833,10.45,84,89,2.13,NZ,1690136597
314,semnan,35.5729,53.3971,31.41,20,22,0.85,IR,1690136597
315,ocean city,39.2776,-74.5746,31.77,53,3,4.25,US,1690136597
316,abepura,-2.6333,140.5833,23.45,88,20,1.03,ID,1690136598
317,peterhead,57.5058,-1.7981,13.22,81,69,8.06,GB,1690136598
318,caucete,-31.6518,-68.2811,16.1,36,38,3.31,AR,1690136598
319,padang,-0.9492,100.3543,24.03,80,100,0.61,ID,1690136456
320,naranjito,-2.2167,-79.4833,27.82,51,55,1.09,EC,1690136598
321,griffith,41.5284,-87.4237,28.92,59,0,2.06,US,1690136599
322,taichung,24.1469,120.6839,28.05,83,40,1.03,TW,1690136599
323,egilsstadir,65.2653,-14.3948,8.95,93,100,4.12,IS,1690136599
324,dalandzadgad,43.5708,104.425,21.85,54,0,2.21,MN,1690136599
325,saint-pierre,-21.3393,55.4781,21.43,73,0,3.09,RE,1690136600
326,pionerskiy,54.9508,20.2275,16.91,83,100,4.33,RU,1690136394
327,salalah,17.0151,54.0924,26.05,94,100,2.57,OM,1690136600
328,burang,30.25,81.1667,10.74,83,100,2.0,CN,1690136600
329,portland,45.5234,-122.6762,27.01,50,20,3.6,US,1690136600
330,nuku'alofa,-21.1333,-175.2,22.19,73,20,3.09,TO,1690136601
331,antofagasta,-23.65,-70.4,18.6,70,40,3.22,CL,1690136224
332,ismayilli,40.779,48.1638,25.4,43,0,1.76,AZ,1690136601
333,el calafate,-50.3408,-72.2768,-2.5,71,0,0.4,AR,1690136601
334,vilyuysk,63.7553,121.6247,18.74,74,76,2.49,RU,1690136601
335,horta,38.5333,-28.6333,25.8,65,40,6.69,PT,1690136601
336,laguna,38.421,-121.4238,36.63,41,0,3.6,US,1690136602
337,chegdomyn,51.1167,133.0167,16.4,97,100,0.29,RU,1690136602
338,kedrovyy,56.1667,91.8167,17.23,90,94,1.84,RU,1690136527
339,nabire,-3.3667,135.4833,23.5,91,85,2.67,ID,1690136602
340,mejit,10.2753,170.8646,28.35,79,87,8.35,MH,1690136602
341,alice springs,-23.7,133.8833,2.75,81,0,3.09,AU,1690136602
342,ketchikan,55.3422,-131.6461,16.26,82,75,2.57,US,1690136603
343,decazeville,44.5605,2.2509,32.38,53,82,1.63,FR,1690136603
344,robore,-18.3333,-59.75,34.1,20,0,4.25,BO,1690136603
345,guerrero negro,27.9769,-114.0611,25.27,55,6,4.5,MX,1690136603
346,glazunovka,52.4986,36.3275,14.64,84,54,3.28,RU,1690136603
347,bollnas,61.3482,16.3946,17.03,75,71,0.75,SE,1690136514
348,baruun-urt,46.6806,113.2792,16.15,60,70,0.93,MN,1690136604
349,manali,13.1667,80.2667,28.05,87,100,5.93,IN,1690136497
350,bang saphan,11.2126,99.5117,24.17,90,100,2.13,TH,1690136604
351,timbuktu,16.7735,-3.0074,35.98,34,43,5.41,ML,1690136604
352,horki,54.2861,30.9842,14.34,76,93,3.67,BY,1690136604
353,bikenibeu village,1.3673,173.1241,26.98,89,40,2.06,KI,1690136605
354,santa ana,33.7456,-117.8678,31.86,70,75,2.06,US,1690136605
355,elliot lake,46.3834,-82.6331,24.93,43,100,4.06,CA,1690136605
356,odda,60.0691,6.5457,16.2,68,99,0.87,NO,1690136605
357,argo,37.6333,22.7333,35.44,31,0,1.11,GR,1690136605
358,divnogorsk,55.9594,92.3619,18.27,90,95,1.76,RU,1690136605
359,kem',64.9555,34.5793,9.57,96,100,4.71,RU,1690136606
360,hirara,24.8,125.2833,27.92,89,65,2.06,JP,1690136606
361,ramban,33.25,75.25,21.86,83,37,1.03,IN,1690136606
362,calama,-22.4667,-68.9333,25.27,6,0,8.23,CL,1690136362
363,morant bay,17.8815,-76.4093,34.84,69,12,6.42,JM,1690136606
364,patterson,37.4716,-121.1297,36.68,12,88,0.54,US,1690136607
365,ilhabela,-23.7781,-45.3581,23.45,58,0,1.05,BR,1690136607
366,gaspe,48.8334,-64.4819,26.12,73,40,3.6,CA,1690136607
